TSP,SO2,SO4,NO2,date,YY,MM
13.666666666666666,0.37857142857142856,3.038888888888889,4.214285714285714,2006-06-01,6,6
22.444444444444443,0.2,1.439,4.978571428571429,2006-07-01,6,7
32.142857142857146,0.49677419354838703,3.0414285714285714,2.9619047619047616,2006-08-01,6,8
14.933333333333334,0.3,1.6953333333333336,4.395833333333333,2006-09-01,6,9
10.3125,0.47166666666666673,2.0975,3.7050000000000005,2006-10-01,6,10
18.571428571428573,0.5310344827586206,2.219285714285714,6.373684210526316,2006-11-01,6,11
7.611111111111111,1.4870967741935481,2.3899999999999997,6.910000000000001,2007-12-01,7,12
6.875,0.780967741935484,1.2706249999999997,5.919354838709679,2007-01-01,7,1
15.428571428571429,4.910714285714286,1.5,12.896296296296295,2007-02-01,7,2
21.6,1.5096774193548383,1.89125,5.846666666666668,2007-03-01,7,3
17.6,1.1133333333333333,1.1793333333333333,3.2333333333333325,2007-04-01,7,4
52.55555555555556,0.8159999999999998,1.375,3.3148148148148153,2007-05-01,7,5
15.7,0.6599999999999999,1.178,4.606666666666667,2007-06-01,7,6
27.952380952380953,0.37483870967741933,1.2447619047619047,4.219354838709678,2007-07-01,7,7
15.833333333333334,0.538,5.048333333333333,3.3677419354838714,2007-08-01,7,8
15.833333333333334,0.5106666666666665,1.5758333333333336,4.247058823529411,2007-09-01,7,9
17.0,0.33217391304347826,1.6046153846153843,4.73529411764706,2007-10-01,7,10
5.0,0.9033333333333332,1.3739999999999999,5.970000000000001,2007-11-01,7,11
7.611111111111111,1.4870967741935481,2.3899999999999997,6.910000000000001,2008-12-01,8,12
18.133333333333333,2.37741935483871,2.5313333333333334,7.905263157894736,2008-01-01,8,1
13.533333333333333,1.2655172413793108,1.2633333333333332,6.978947368421053,2008-02-01,8,2
11.6875,0.7322580645161293,1.585,4.133333333333333,2008-03-01,8,3
41.8,1.15,2.4459999999999997,5.427777777777777,2008-04-01,8,4
29.625,0.5366666666666666,3.4506250000000005,3.210344827586207,2008-05-01,8,5
30.533333333333335,0.34166666666666673,1.5699999999999998,3.504761904761904,2008-06-01,8,6
23.6875,0.39999999999999997,1.079375,3.9047619047619033,2008-07-01,8,7
28.0,0.47884615384615387,1.4434615384615381,3.011764705882353,2008-08-01,8,8
18.733333333333334,0.9448275862068967,2.007333333333334,4.184210526315789,2008-09-01,8,9
12.9375,0.9806451612903226,2.18875,4.605263157894737,2008-10-01,8,10
5.0,0.9033333333333332,1.3739999999999999,5.970000000000001,2008-11-01,8,11
35.625,0.8612903225806451,1.738125,6.10952380952381,2009-12-01,9,12
15.3125,2.943666666666667,3.3525000000000005,6.75,2009-01-01,9,1
15.0,4.857142857142857,2.6000000000000005,4.58,2009-02-01,9,2
21.933333333333334,1.4132258064516128,2.8106666666666666,6.133333333333334,2009-03-01,9,3
33.4,2.083333333333333,2.048666666666666,6.005000000000001,2009-04-01,9,4
56.125,0.5193103448275861,0.97375,4.899999999999999,2009-05-01,9,5
27.0,0.22586206896551728,0.626,2.71,2009-06-01,9,6
24.615384615384617,0.22096774193548377,0.8507692307692307,3.223809523809524,2009-07-01,9,7
21.4,0.2819354838709677,0.6225,3.6238095238095234,2009-08-01,9,8
11.466666666666667,0.3158620689655171,0.712,3.125,2009-09-01,9,9
9.0,0.24884615384615374,0.38,4.7333333333333325,2009-10-01,9,10
8.071428571428571,0.14933333333333326,1.6164285714285715,4.479999999999999,2009-11-01,9,11
18.1875,1.77741935483871,3.22625,14.076190476190474,2010-12-01,10,12
31.5,2.4774193548387093,3.3525000000000005,11.038095238095238,2010-01-01,10,1
41.38461538461539,1.732142857142857,3.8876923076923076,5.2941176470588225,2010-02-01,10,2
67.0,1.003225806451613,3.411875,5.052380952380953,2010-03-01,10,3
111.78571428571429,0.925925925925926,2.572857142857143,4.936842105263158,2010-04-01,10,4
122.125,0.36612903225806454,4.291874999999999,3.4428571428571426,2010-05-01,10,5
71.73333333333333,0.16000000000000003,2.529333333333333,3.5629629629629638,2010-06-01,10,6
120.0,0.5066666666666667,2.2159375000000003,5.267741935483872,2010-07-01,10,7
139.46666666666667,0.6112903225806453,6.425333333333334,5.523809523809523,2010-08-01,10,8
85.78571428571429,0.382,0.9389285714285716,6.045,2010-09-01,10,9
35.285714285714285,0.48965517241379314,0.9179999999999999,6.67,2010-10-01,10,10
21.357142857142858,0.6679999999999999,1.4942857142857144,5.411764705882353,2010-11-01,10,11
18.1875,1.77741935483871,3.22625,14.076190476190474,2011-12-01,11,12
