date,TSP,SO2,SO4,NO2,YY,MM,TSP_resid,SO2_resid,SO4_resid,NO2_resid
1996-06-01,41.642857142857146,0.28589285714285717,2.6142857142857143,0.0,96,6,0.1716574831016331,0.12500016785412082,0.2600824309342673,0.0
1996-07-01,36.2,0.10177419354838707,2.0533333333333332,0.0,96,7,0.20632404080441047,-0.44417239621250926,-0.0038358563827867176,0.0
1996-08-01,29.653846153846153,0.30629032258064515,2.883870967741935,0.0,96,8,0.07115330401099706,-0.7387844680123072,0.05420815356623121,0.0
1996-09-01,31.85185185185185,0.20624999999999996,2.4232142857142853,0.0,96,9,0.057576593158479294,0.7332554934623965,0.25298316867460235,0.0
1996-10-01,17.555555555555557,0.47124999999999995,2.599999999999999,0.0,96,10,0.18364018577468233,-0.4893226695882902,0.043460023201032816,0.0
1996-11-01,17.310344827586206,0.3549999999999999,3.7344827586206892,0.0,96,11,-0.21824520029781258,0.10544722239788806,0.11181323085865613,0.0
1997-12-01,6.9523809523809526,2.8635483870967735,2.3714285714285714,6.328571428571427,97,12,0.0039119248321219935,-1.2554543126586495,0.3606771267202349,0.0
1997-01-01,8.666666666666666,1.6570967741935483,1.748387096774194,0.0,97,1,-0.7666167693273118,0.9745602887306621,-0.4827739148507165,0.0
1997-02-01,11.428571428571429,1.6212499999999999,2.2428571428571424,0.0,97,2,-0.5602974675759325,-0.5470398495044503,-0.6976211851147289,0.0
1997-03-01,14.785714285714286,0.5996774193548389,1.7274193548387096,0.0,97,3,-0.3297186275550401,-0.25689362809145105,-0.18058825253884792,0.0
1997-04-01,22.166666666666668,0.7263333333333334,2.1750000000000003,0.0,97,4,-0.2635628066812168,-0.7306563458461294,-0.49978370191767263,0.0
1997-05-01,53.8125,0.29032258064516125,1.8625,0.0,97,5,-0.19197325016697464,0.21191557222756713,0.029140628438464877,0.0
1997-06-01,38.8235294117647,0.15796296296296297,1.7421052631578948,0.0,97,6,0.44833362611935934,-0.21758743860446095,0.07417959025258414,0.0
1997-07-01,33.8421052631579,0.1546774193548387,1.0749999999999997,0.0,97,7,0.29955212120373975,-0.5395136981384843,0.05502549848537097,0.0
1997-08-01,30.105263157894736,0.28933333333333333,1.7999999999999996,2.659047619047619,97,8,0.17502329697295327,0.1919855386639313,-0.29537151524597666,1.845186488212775
1997-09-01,29.57894736842105,0.364,2.3999999999999995,3.1888888888888887,97,9,0.23258115766019705,0.6291189090157048,0.14411142999065185,-0.8669944463654541
1997-10-01,13.11111111111111,0.533888888888889,2.3425000000000002,4.095000000000001,97,10,0.2193882471900146,0.3482264391609815,0.4334815640362655,0.1818164094984306
1997-11-01,13.85,1.3272222222222223,4.005,3.8699999999999997,97,11,-0.343354347171394,0.18491666744538604,0.05355228577569526,0.25020613755387866
1998-12-01,9.928571428571429,2.0166666666666666,3.1399999999999997,4.689473684210526,98,12,-0.021078864877206893,0.3395172007866622,0.3960997919377871,-0.056400221700345865
1998-01-01,13.476190476190476,2.3061290322580645,3.9142857142857124,8.08,98,1,-0.1344579402833017,0.1440286338443768,-0.059216516988968015,0.19217780773387938
1998-02-01,14.384615384615385,2.4733333333333327,3.5230769230769234,3.8470588235294123,98,2,-0.036148606066130906,0.053913838475046494,0.13532727410549383,0.5441834982595994
1998-03-01,9.466666666666667,1.2351612903225806,3.53125,4.704761904761905,98,3,-0.10947147626805975,0.16325797681887122,-0.05720641283979666,-0.7419709346001813
1998-04-01,29.666666666666668,0.7824137931034482,4.153333333333333,3.0649999999999995,98,4,-0.7069173485917841,0.008845037546008738,0.044641862788367126,0.20137814369026508
1998-05-01,56.6875,0.19935483870967738,2.79375,2.2047619047619045,98,5,0.27273529811406894,0.04120369074778235,0.27644429769685996,-0.42841562994776594
1998-06-01,38.8235294117647,0.17047619047619048,4.46,1.4928571428571427,98,6,0.41418353583201517,-0.5794108127693891,0.10079262821702106,-0.32931613801854687
1998-07-01,24.0,0.025416666666666667,1.0749999999999997,1.7374999999999998,98,7,0.27332628698234096,-0.24891405080776918,0.7020684818223406,-0.3898158158195952
1998-08-01,22.076923076923077,0.018064516129032256,1.4461538461538466,1.5619047619047617,98,8,-0.17208300884183858,-1.6490259098468352,-0.7483180750731868,-0.7706139118190074
1998-09-01,38.53846153846154,0.10766666666666666,1.7066666666666668,2.4157894736842103,98,9,0.012629796316584674,-1.584140649389496,-0.19143185705960336,0.7606769426955916
1998-10-01,5.833333333333333,0.23354838709677414,1.6105263157894734,3.082608695652174,98,10,0.5900571755768524,0.13672437653779212,0.09964382508859199,0.555234679545519
1998-11-01,2.8333333333333335,1.7590000000000001,2.7333333333333334,6.821739130434783,98,11,-1.1356542038461086,-0.06008303141112159,-0.11302315486088321,0.3308621113296468
